Section ID;STD Street;Block Num;Direction;Year;Day of Week;AADW;Hr Cnt;X;Y;Longitude;Latitude;geopoint
178.0;KEEFER ST;100.0;E;2016.0;Tuesday;3669.0;408.0;492653.721621;5458532.69521;-123.101004252;49.2795050759;49.2795050759,-123.101004252
178.0;KEEFER ST;100.0;W;2016.0;Sunday;2399.0;912.0;492653.721621;5458532.69521;-123.101004252;49.2795050759;49.2795050759,-123.101004252
178.0;KEEFER ST;100.0;W;2016.0;Tuesday;3201.0;864.0;492653.721621;5458532.69521;-123.101004252;49.2795050759;49.2795050759,-123.101004252
179.0;E PENDER ST;100.0;E;2016.0;Sunday;3876.0;744.0;492654.665105;5458633.30761;-123.100993129;49.2804101123;49.2804101123,-123.100993129
179.0;E PENDER ST;100.0;E;2016.0;Wednesday;4166.0;744.0;492654.665105;5458633.30761;-123.100993129;49.2804101123;49.2804101123,-123.100993129
179.0;E PENDER ST;100.0;E;2016.0;Saturday;4560.0;816.0;492654.665105;5458633.30761;-123.100993129;49.2804101123;49.2804101123,-123.100993129
179.0;E PENDER ST;100.0;W;2016.0;Wednesday;2733.0;624.0;492654.665105;5458633.30761;-123.100993129;49.2804101123;49.2804101123,-123.100993129
179.0;E PENDER ST;100.0;W;2016.0;Friday;3111.0;720.0;492654.665105;5458633.30761;-123.100993129;49.2804101123;49.2804101123,-123.100993129
179.0;E PENDER ST;100.0;W;2016.0;Saturday;3182.0;744.0;492654.665105;5458633.30761;-123.100993129;49.2804101123;49.2804101123,-123.100993129
180.0;POWELL ST;100.0;W;2016.0;Sunday;7694.0;888.0;492663.946788;5458945.00111;-123.100871231;49.2832139571;49.2832139571,-123.100871231
180.0;POWELL ST;100.0;W;2016.0;Monday;8447.0;888.0;492663.946788;5458945.00111;-123.100871231;49.2832139571;49.2832139571,-123.100871231
181.0;PRIOR ST;300.0;W;2016.0;Wednesday;8626.0;552.0;493002.2348;5458220.3675;-123.096207074;49.2766997248;49.2766997248,-123.096207074
181.0;PRIOR ST;300.0;W;2016.0;Saturday;7382.0;696.0;493002.2348;5458220.3675;-123.096207074;49.2766997248;49.2766997248,-123.096207074
182.0;GRANVILLE ST;2200.0;N;2016.0;Monday;21192.0;1080.0;489925.5518;5457009.6325;-123.138475507;49.2657660022;49.2657660022,-123.138475507
182.0;GRANVILLE ST;2200.0;N;2016.0;Wednesday;22899.0;1056.0;489925.5518;5457009.6325;-123.138475507;49.2657660022;49.2657660022,-123.138475507
183.0;GRANVILLE ST;1200.0;S;2016.0;Sunday;7070.0;960.0;490762.7903;5458215.1245;-123.126995342;49.2766228264;49.2766228264,-123.126995342
183.0;GRANVILLE ST;1200.0;S;2016.0;Thursday;9560.0;1128.0;490762.7903;5458215.1245;-123.126995342;49.2766228264;49.2766228264,-123.126995342
183.0;GRANVILLE ST;1200.0;S;2016.0;Saturday;7512.0;1176.0;490762.7903;5458215.1245;-123.126995342;49.2766228264;49.2766228264,-123.126995342
184.0;HEMLOCK ST;2100.0;N;2016.0;Monday;9284.0;504.0;490107.215227;5457106.6756;-123.135980909;49.2666418874;49.2666418874,-123.135980909
184.0;HEMLOCK ST;2100.0;N;2016.0;Tuesday;10461.0;432.0;490107.215227;5457106.6756;-123.135980909;49.2666418874;49.2666418874,-123.135980909
185.0;HOWE ST;1300.0;S;2016.0;Monday;20075.0;648.0;490574.427783;5458169.30852;-123.129583908;49.2762078291;49.2762078291,-123.129583908
